question,answer
What is bodily autonomy?,"Bodily autonomy means having the right to make decisions about your own body without coercion or external pressure. It includes decisions related to sexual activity, contraception, and reproductive health."
Why is bodily autonomy important for young women?,"It empowers young women to make informed decisions about their health, helps prevent abuse, and promotes equality and self-confidence."
What is menstruation?,Menstruation is the monthly shedding of the uterine lining in individuals with a uterus. It’s a normal and healthy part of the reproductive cycle.
How can I manage menstrual pain?,"You can manage menstrual pain with over-the-counter medications, heating pads, hydration, and rest. Severe pain should be checked by a healthcare provider."
What are the signs of a healthy menstrual cycle?,"A regular cycle lasting between 21-35 days, consistent flow, and manageable cramps are signs of a healthy cycle."
What are contraceptives?,"Contraceptives are methods used to prevent pregnancy. They include pills, condoms, IUDs, injections, and implants."
Are contraceptives safe for young women?,"Yes, most contraceptives are safe for young women. It's best to consult a healthcare provider for the most suitable option."
Can I use condoms and birth control pills together?,Yes. Using both provides extra protection against pregnancy and STIs.
What is sexual consent?,"Sexual consent is a clear, voluntary agreement to engage in sexual activity. It must be informed, freely given, and can be withdrawn at any time."
Can I say no even if I agreed before?,Yes. Consent can be withdrawn at any point. It’s your right to stop any activity you’re uncomfortable with.
What are STIs?,"STIs (Sexually Transmitted Infections) are infections passed through sexual contact. Examples include HIV, chlamydia, gonorrhea, and syphilis."
How can I prevent STIs?,"Using condoms, regular testing, and reducing the number of sexual partners can help prevent STIs."
Where can I get tested for HIV?,"You can get tested at local clinics, hospitals, or organizations that provide SRHR services."
What should I do if I experience sexual abuse?,Seek immediate help from a trusted adult or organization. Contact authorities and medical professionals to ensure your safety and health.
Is sexual harassment in school normal?,No. Sexual harassment is a violation of your rights. You have the right to a safe learning environment.
What are the effects of early marriage on girls?,"Early marriage can lead to health risks, limited education, and reduced opportunities. It often violates a girl's rights."
Is it okay to refuse early marriage?,Yes. You have the right to choose when and whom to marry.
What was the 'I Know My Rights' campaign about?,It was a campaign led by AshleTechConnect SRHR to raise awareness about young women's SRHR through education and advocacy.
How can I get involved in SRHR activism?,"Join community groups, attend workshops, and participate in campaigns like those organized by AshleTechConnect and Girl Up."
What services are included in reproductive health?,"Services include family planning, prenatal care, STI testing, menstrual health education, and counseling."
Why is reproductive health education important?,"It helps individuals make informed decisions, promotes health, and prevents risky behaviors."
How does mental health relate to SRHR?,Mental health is essential for making informed SRHR decisions. SRHR issues like abuse or discrimination can affect mental well-being.
Where can I find mental health support?,"You can access support from counselors, SRHR organizations, school psychologists, or helplines."
What is reproductive justice?,"Reproductive justice combines reproductive rights with social justice, addressing how factors like race, income, and location affect access to healthcare. It emphasizes the right to have children, not have children, and parent safely."
Can transgender individuals access SRHR services?,"Yes, all individuals deserve SRHR care regardless of gender identity. Inclusive services include hormone therapy, sexual health screenings, and reproductive counseling from trained providers."
What's emergency contraception?,Emergency contraception (morning-after pill) prevents pregnancy after unprotected sex. It works best within 72 hours and is available at pharmacies without prescription in many regions.
How does abortion access impact public health?,Legal abortion reduces maternal mortality by preventing unsafe procedures. Access allows timely medical care and preserves reproductive autonomy.
What is female genital mutilation (FGM)?,FGM involves partial/total removal of external female genitalia for non-medical reasons. It causes severe health consequences and violates human rights.
How can I track menstrual symptoms?,"Use apps or journals to record cycle length, flow intensity, pain levels, and emotional changes. Patterns help identify irregularities for medical consultation."
What are pregnancy options?,"Options include parenting, adoption, or abortion. Consult healthcare providers to discuss each path confidentially with non-judgmental counseling."
Do minors need parental consent for contraception?,Laws vary by country. Many regions allow confidential access to contraception for adolescents through youth-friendly clinics.
How does hormonal birth control affect periods?,"May cause lighter flow, spotting, or skipped cycles. Copper IUDs might increase cramping. Report severe changes to a healthcare provider."
